00000/000000,00.0
Waltz/106201,87.0
Waltz/106203,87.0
Waltz/106205,87.0
Waltz/106202,84.0
Waltz/106204,87.0
Waltz/106501,87.0
Waltz/106503,87.0
Waltz/106521,87.0
Waltz/106502,87.0
Waltz/106504,84.0
Waltz/106516,87.0
Waltz/106601,87.0
Waltz/106603,87.0
Waltz/106605,87.0
Waltz/106602,87.0
Waltz/106604,84.0
Waltz/106606,84.0
Waltz/106701,87.0
Waltz/106703,84.0
Waltz/106705,84.0
Waltz/106707,87.0
Waltz/106709,87.0
Waltz/106702,84.0
Waltz/106704,84.0
Waltz/106706,84.0
Waltz/106708,87.0
Waltz/106710,87.0
Waltz/107101,87.0
Waltz/107103,87.0
Waltz/107105,87.0
Waltz/107102,87.0
Waltz/107104,87.0
Waltz/107118,87.0
Waltz/107301,84.0
Waltz/107303,84.0
Waltz/107305,84.0
Waltz/107307,87.0
Waltz/107309,87.0
Waltz/107311,87.0
Waltz/107302,84.0
Waltz/107304,84.0
Waltz/107306,87.0
Waltz/107308,87.0
Waltz/107310,87.0
Waltz/107312,87.0
Waltz/107701,87.0
Waltz/107703,87.0
Waltz/107705,87.0
Waltz/107707,87.0
Waltz/107709,87.0
Waltz/107702,87.0
Waltz/107704,87.0
Waltz/107706,87.0
Waltz/107708,87.0
Waltz/107710,87.0
Waltz/107801,84.0
Waltz/107803,87.0
Waltz/107805,87.0
Waltz/107807,87.0
Waltz/107809,87.0
Waltz/107802,87.0
Waltz/107804,87.0
Waltz/107806,85.0
Waltz/107808,87.0
Waltz/107810,87.0
Waltz/107921,87.0
Waltz/107923,87.0
Waltz/107925,87.0
Waltz/107927,87.0
Waltz/107929,87.0
Waltz/107931,87.0
Waltz/107933,87.0
Waltz/107922,83.0
Waltz/107924,87.0
Waltz/107926,87.0
Waltz/107928,87.0
Waltz/107930,84.0
Waltz/107932,87.0
Waltz/108023,87.0
Waltz/108025,87.0
Waltz/108027,87.0
Waltz/108029,87.0
Waltz/108031,87.0
Waltz/108033,85.0
Waltz/108022,87.0
Waltz/108024,87.0
Waltz/108026,87.0
Waltz/108028,87.0
Waltz/108030,85.0
Waltz/108032,87.0
Waltz/108123,87.0
Waltz/108125,87.0
Waltz/108127,87.0
Waltz/108129,87.0
Waltz/108131,87.0
Waltz/108122,87.0
Waltz/108124,78.0
Waltz/108126,87.0
Waltz/108128,87.0
Waltz/108130,87.0
Waltz/108221,87.0
Waltz/108223,87.0
Waltz/108225,87.0
Waltz/108227,87.0
Waltz/108229,87.0
Waltz/108222,87.0
Waltz/108224,87.0
Waltz/108226,87.0
Waltz/108228,87.0
Waltz/108321,84.0
Waltz/108323,87.0
Waltz/108325,87.0
Waltz/108327,87.0
Waltz/108329,87.0
Waltz/108322,87.0
Waltz/108324,87.0
Waltz/108326,87.0
Waltz/108328,87.0
Waltz/108330,87.0
Waltz/108901,84.0
Waltz/108903,87.0
Waltz/108905,87.0
Waltz/108907,87.0
Waltz/108909,87.0
Waltz/108911,87.0
Waltz/108913,84.0
Waltz/108915,87.0
Waltz/108917,87.0
Waltz/108919,87.0
Waltz/108902,84.0
Waltz/108904,84.0
Waltz/108906,84.0
Waltz/108908,84.0
Waltz/108910,87.0
Waltz/108912,87.0
Waltz/108914,87.0
Waltz/108916,87.0
Waltz/108918,84.0
Waltz/108920,87.0
Waltz/109401,87.0
Waltz/109403,84.0
Waltz/109405,84.0
Waltz/109402,84.0
Waltz/109404,84.0
Waltz/109406,87.0
Waltz/109601,84.0
Waltz/109603,87.0
Waltz/109605,87.0
Waltz/109623,84.0
Waltz/109602,84.0
Waltz/109604,84.0
Waltz/109618,87.0
Waltz/109901,84.0
Waltz/109903,87.0
Waltz/109905,87.0
Waltz/109902,87.0
Waltz/109904,87.0
Waltz/110101,87.0
Waltz/110103,84.0
Waltz/110105,80.0
Waltz/110107,84.0
Waltz/110109,84.0
Waltz/110111,84.0
Waltz/110113,84.0
Waltz/110115,84.0
Waltz/110117,84.0
Waltz/110119,84.0
Waltz/110121,84.0
Waltz/110123,84.0
Waltz/110125,87.0
Waltz/110127,87.0
Waltz/110129,87.0
Waltz/110131,87.0
Waltz/110133,84.0
Waltz/110135,87.0
Waltz/110102,84.0
Waltz/110104,84.0
Waltz/110106,84.0
Waltz/110108,87.0
Waltz/110110,84.0
Waltz/110112,87.0
Waltz/110114,87.0
Waltz/110116,87.0
Waltz/110118,84.0
Waltz/110120,84.0
Waltz/110122,87.0
Waltz/110124,87.0
Waltz/110126,87.0
Waltz/110128,87.0
Waltz/110130,87.0
Waltz/110132,87.0
Waltz/110134,87.0
Waltz/110136,87.0
Waltz/110421,87.0
Waltz/110423,87.0
Waltz/110425,87.0
Waltz/110427,87.0
Waltz/110429,87.0
Waltz/110422,87.0
Waltz/110424,87.0
Waltz/110426,87.0
Waltz/110428,87.0
Waltz/110430,87.0
Waltz/110501,84.0
Waltz/110503,87.0
Waltz/110505,87.0
Waltz/110507,84.0
Waltz/110521,87.0
Waltz/110502,87.0
Waltz/110504,84.0
Waltz/110506,84.0
Waltz/110601,87.0
Waltz/110603,84.0
Waltz/110605,84.0
Waltz/110607,84.0
Waltz/110609,87.0
Waltz/110602,87.0
Waltz/110604,87.0
Waltz/110606,87.0
Waltz/110608,87.0
